"users"	"move"	"mean"	"std"	"mad"	"max"	"min"	"sma"	"energy"	"iqr"	"entropy"	"arCoeff"	"correlation"	"maxInds"	"meanFreq"	"skewness"	"kurtosis"	"bandsEnergy"	"angle"
"11"	9	"WALKING_UPSTAIRS"	0.270313841621528	-0.0209466555412396	-0.101233826213889	-0.555656544538194	-0.5758878952125	-0.506111776081806	-0.585175212755556	-0.581992301567014	-0.499956158855139	-0.413249741433993	-0.305332138182292	-0.547845932083333	0.511255282418056	0.471525893135417	0.520373209975694	-0.507744814060069	-0.799754281774306
"12"	10	"WALKING_DOWNSTAIRS"	0.276238831213675	-0.0188857189162821	-0.112087661002564	-0.425216183982906	-0.386704550776068	-0.523113372540812	-0.462209148696581	-0.407799231873504	-0.524626248799145	-0.250584618267094	-0.176856612635043	-0.407192148969231	0.334350010123932	0.346069114414103	0.573149347136752	-0.399443651800855	-0.712158028696581
"13"	10	"WALKING_UPSTAIRS"	0.2792260805	-0.0137410699333333	-0.1082356298	-0.976914667166667	-0.929141091633333	-0.972264913	-0.9803059565	-0.932192292166667	-0.971918033333333	-0.914583284	-0.522395987166667	-0.806386792166667	0.8218110045	0.666173075833333	0.830745651333333	-0.962626925333333	-0.9979284955
"14"	11	"WALKING_UPSTAIRS"	0.27658531139557	-0.0191272531933228	-0.108941761642405	-0.58947649779557	-0.490379346996835	-0.665324314227848	-0.612553586231013	-0.498195651446835	-0.653166999791139	-0.470541758804494	-0.329067436632405	-0.555051181424051	0.507589157667722	0.381515185556962	0.709453429620253	-0.546745603506646	-0.82183870778481
"15"	12	"SITTING"	0.275639357761194	-0.0184861388459702	-0.107917262447761	-0.508665196767164	-0.401357613464179	-0.722443639029851	-0.542086023576119	-0.42283501601791	-0.723099322014925	-0.322977092126866	-0.261101523214179	-0.597022296073134	0.425800572955224	0.301347960314478	0.673427560746269	-0.504688778902239	-0.76679712919403
"16"	12	"WALKING_DOWNSTAIRS"	0.272145794677419	-0.0182299075608413	-0.105735506451613	-0.638208440290323	-0.608983265026882	-0.682615496811828	-0.664722984650538	-0.633856930897849	-0.690643175553763	-0.472831514948495	-0.336775119302688	-0.633547019301075	0.574254783612903	0.434323663833333	0.604817561989247	-0.621860855892473	-0.853493936774193
"17"	13	"SITTING"	0.275895876198777	-0.0176504796070948	-0.109135285550765	-0.624844460199083	-0.448816097853364	-0.587230562129052	-0.649847857647401	-0.462357631949541	-0.593588513895358	-0.494129249577982	-0.288709601924893	-0.581163451853211	0.516148540858104	0.36632507915948	0.545533073297859	-0.540566837427187	-0.854602793975535
"18"	14	"WALKING_DOWNSTAIRS"	0.268742494553279	-0.0166371300659426	-0.0996007059877049	-0.493875900753279	-0.190356784144426	-0.0829789883191393	-0.538256059129508	-0.226575934428279	-0.121970459743443	-0.287211207098361	-0.125733975570246	-0.233880800912295	0.430769919381557	0.171302463229918	0.241408937968443	-0.277747711745902	-0.798830616188525
"19"	14	"WALKING_UPSTAIRS"	0.274638681518987	-0.0150740054405063	-0.105264366677722	-0.975494321518987	-0.944189643417721	-0.943891439113924	-0.97752713721519	-0.944015752278481	-0.942162249493671	-0.918597693544304	-0.540501335696203	-0.786934559746835	0.826575185696202	0.673412511012658	0.821205047721519	-0.954329297974684	-0.996736788987342
"20"	15	"WALKING_DOWNSTAIRS"	0.27821340725	-0.016464484771311	-0.112563587594512	-0.556541173089329	-0.481679537956006	-0.705706623868902	-0.586357074003659	-0.497626696257927	-0.705956270652439	-0.419304116073171	-0.322255664242866	-0.576563512179878	0.486169111495122	0.353736648456982	0.689414881006098	-0.544807644340244	-0.763841334589024
"21"	16	"WALKING_DOWNSTAIRS"	0.277887440374317	-0.0158567888309016	-0.107263924445355	-0.668161498298634	-0.649947067892896	-0.603819902386066	-0.680066570957104	-0.660971189773224	-0.60829310261694	-0.581814020420765	-0.341957179443716	-0.610279580295082	0.594926489266667	0.505770366404372	0.551504950581967	-0.615754788088251	-0.853206531410656
"22"	17	"SITTING"	0.27344147274375	-0.0180888559772812	-0.109111919458969	-0.550867932263844	-0.507275258134	-0.613217322774375	-0.573175197115625	-0.516439909551562	-0.611700705755625	-0.424518095964375	-0.295487109213438	-0.583452804753125	0.490228467434688	0.41482705585875	0.61162582836875	-0.514497543585313	-0.78533749215625
"23"	17	"WALKING_DOWNSTAIRS"	0.277950050208333	-0.0138932613754167	-0.109786077604167	-0.992370654583333	-0.965205728333333	-0.976352307916667	-0.993113862916667	-0.963923157291667	-0.975073393333333	-0.934944414583333	-0.55217905625	-0.809262202916667	0.846174188333333	0.685268879791667	0.837653529375	-0.978070381041667	-0.99982330875
"24"	18	"SITTING"	0.27795824	-0.01729741093	-0.110021546	-0.991705206333333	-0.939095257	-0.950753017666667	-0.993274713333333	-0.938065553	-0.947578520333333	-0.932436737333333	-0.544006469666667	-0.797127701666667	0.842204724333333	0.663342909666667	0.827171845666667	-0.964557718333333	-0.999892158666667
"25"	18	"STANDING"	0.276177377784431	-0.0172818741561907	-0.107940757511976	-0.667932305209581	-0.599095553763473	-0.679216670329341	-0.696610752724551	-0.603562638341317	-0.683144690961078	-0.493160618350808	-0.365100505634731	-0.629831900868263	0.597661851706587	0.466524345727545	0.633604916167665	-0.630775214820359	-0.892104659790419
"26"	19	"SITTING"	0.269723487105556	-0.0182031515710306	-0.118277180099383	-0.574658922919194	-0.507035084992639	-0.649184726556944	-0.593921961070556	-0.508237269269444	-0.659923300610833	-0.463797416769444	-0.291912033686667	-0.582338625538889	0.486246951216667	0.417235804930556	0.579746300034722	-0.538115291904722	-0.744766068483333
"27"	20	"LAYING"	0.268210689679487	-0.0154394352991026	-0.103432062417949	-0.546535422961538	-0.259011300096154	-0.639730168647436	-0.577688003894231	-0.267632956884615	-0.645089060551282	-0.396517082508333	-0.218474506473077	-0.488789986202949	0.438462816505192	0.2412771035	0.656790449230769	-0.45870347328141	-0.78352666974359
"28"	20	"STANDING"	0.268595205636364	-0.0192867074389394	-0.111651090326263	-0.650788909160606	-0.456259753985354	-0.630893001863636	-0.670973138215151	-0.467976911584848	-0.637479679524242	-0.526966214504546	-0.306112069126263	-0.599892313585859	0.533284459087374	0.357890644616162	0.593098730651515	-0.564634359198485	-0.847439077171717
"29"	21	"SITTING"	0.277466525522059	-0.0176664578561765	-0.10877848058848	-0.672323867377451	-0.565585190336299	-0.669621813176471	-0.688824771703431	-0.573810908081191	-0.673969367927696	-0.562679804579412	-0.3540560261675	-0.619413648840686	0.590672618168137	0.426244524761275	0.615353931893627	-0.61590924892598	-0.849603949561274
"30"	22	"SITTING"	0.279241531908081	-0.0168623073762273	-0.108558951083333	-0.631563159137374	-0.593370593093586	-0.719165341207576	-0.637318625717172	-0.615661489808657	-0.723636417176768	-0.56288158700404	-0.361936114572727	-0.587361362032323	0.548885631326263	0.415520971636869	0.690527183181818	-0.610848746823232	-0.791058215337879
"31"	22	"STANDING"	0.267565895829268	-0.016771104312122	-0.108849744982114	-0.408498997088862	-0.326700060089431	-0.551943490507317	-0.420255048895935	-0.357821458022631	-0.562745274366667	-0.307724364353171	-0.233517801479675	-0.515245914227642	0.362388427121951	0.223051614982927	0.53122190497561	-0.370451838405691	-0.677245831837398
"32"	23	"STANDING"	0.273493254730108	-0.019589258786828	-0.109093982385242	-0.622594039757258	-0.532078546615699	-0.450557203409946	-0.653234529713441	-0.563066352054301	-0.464787835675269	-0.466546913547849	-0.310781984802419	-0.459694099625269	0.475437428106882	0.369647445706613	0.453618114035215	-0.531879502651011	-0.840279555026882
"33"	24	"LAYING"	0.276767046391076	-0.0176822460103885	-0.107914503687664	-0.675459176298425	-0.582490655185302	-0.636497458900262	-0.696740172598425	-0.604195294863517	-0.647960180979003	-0.540884458170079	-0.356933261887664	-0.570815375942257	0.600295213149606	0.421266969699528	0.584103490099737	-0.620085552028032	-0.882689745144357
"34"	25	"STANDING"	0.275301467772127	-0.0193221769314914	-0.10962903098044	-0.716264537547677	-0.531421035602689	-0.64709556105868	-0.736110608354523	-0.540052949860636	-0.633559021444988	-0.606640381737653	-0.322077312218582	-0.586671851144743	0.602430652415648	0.427103115440587	0.665385171124694	-0.58578351278313	-0.916698509657702
"35"	26	"STANDING"	0.2730365808625	-0.0161687277463495	-0.107637894928571	-0.623101031168367	-0.585967142418112	-0.70498062744898	-0.654028546174235	-0.600976092317092	-0.707916570484694	-0.473772628579592	-0.336719160653827	-0.596438106360459	0.541388842519388	0.433139542385204	0.663426265612245	-0.611437598359439	-0.826882133234694
"36"	27	"LAYING"	0.277798919328859	-0.0169386590334393	-0.112273368370134	-0.574783321550336	-0.541012892132886	-0.60815876533557	-0.59950279686745	-0.548046085313127	-0.609843561662081	-0.411030822466611	-0.313060250789262	-0.585463790234899	0.529086528116443	0.416204970305369	0.571020115155101	-0.541016796486611	-0.813537475063758
"37"	27	"STANDING"	0.275223067435897	-0.0162554117217949	-0.105403810015385	-0.990276643846154	-0.972196177948718	-0.969969877692308	-0.991114536410256	-0.972060690512821	-0.968680733461538	-0.935884876410256	-0.559262772179487	-0.803044658205128	0.839853733846154	0.682710119358974	0.83582152025641	-0.979437980897436	-0.999541047692308
"38"	28	"LAYING"	0.277532554764398	-0.0191721442063089	-0.109710873104188	-0.649040391307853	-0.573651895933508	-0.685821415026178	-0.670198866332042	-0.589692313979319	-0.698180125183246	-0.51273115590733	-0.343362334991623	-0.619806458591623	0.569489566070681	0.403210004486764	0.612842697405236	-0.615860965178796	-0.846781732492147
"39"	29	"LAYING"	0.279111521944767	-0.018471953048314	-0.108675612269477	-0.574295395364826	-0.598400275636657	-0.606461283926453	-0.603141656619186	-0.616667321107849	-0.609089488652326	-0.42094803981657	-0.331521838569128	-0.484698912237791	0.536995410770349	0.428903716593023	0.634366527610465	-0.56094602774157	-0.790598090851744
"40"	30	"LAYING"	0.276305836721932	-0.0175856077340209	-0.10589355727859	-0.615890785389034	-0.519047387875457	-0.522643273772115	-0.651964105332141	-0.533107564575979	-0.510898295241018	-0.415787613179896	-0.30577580727624	-0.503479014402089	0.545426927958225	0.412023923128982	0.566837275775457	-0.534488986323133	-0.851236944989556
